"","nuvirdi","teg_eign","ibm2","fjbilsk","fjherb","fjstof","matssvaedi","nafn_baer"
"3139",15037,"Íbúðareign",137.5,0,4,1,5110,"Sauðárkrókur"
"3140",24162,"Parhús",87.8,0,2,1,6080,"Akureyri: Giljahverfi"
"3141",41375,"Einbýlishús",140,0,5,1,700,"Garðarbær: Álftanes"
"3142",20967,"Íbúðareign",87.8,0,2,1,320,"Kópavogur: Austurbær"
"3143",22578,"Íbúðareign",74.4,0,2,1,330,"Kópavogur: Hjallar, Smárar"
"3144",22899,"Íbúðareign",94.9,1,2,1,340,"Kópavogur: Lindir, Salir"
"3145",28859,"Íbúðareign",93.9,0,2,1,351,"Kópavogur: Kórar"
"3146",17058,"Íbúðareign",101.4,0,3,1,150,"Seljahverfi"
"3147",34635,"Íbúðareign",129.8,0,3,2,100,"Laugarneshverfi/Vogar"
"3148",44266,"Einbýlishús",197.5,0,5,1,181,"Úlfarsárdalur"
"3149",20593,"Íbúðareign",98.4,0,3,1,600,"Hafnarfjörður"
"3150",24744,"Íbúðareign",98.4,0,1,1,340,"Kópavogur: Lindir, Salir"
"3151",13294,"Íbúðareign",28.7,0,0,1,90,"Holt/Tún"
"3152",20749,"Íbúðareign",78.6,0,2,1,72,"Hagar/Melar vestan Hofsvallagötu"
"3153",20861,"Íbúðareign",93.2,0,2,1,130,"Grafarvogur: Rimar, Engi, Víkur, Borgir"
"3154",14958,"Íbúðareign",68.8,0,2,2,20,"Miðbær: Frá Tjörn að Snorrabraut"
"3155",18396,"Íbúðareign",86,0,2,1,130,"Grafarvogur: Rimar, Engi, Víkur, Borgir"
"3156",10472,"Parhús",138,0,4,1,4020,"Patreksfjörður"
"3157",17286,"Einbýlishús",147.2,0,3,2,4030,"Tálknafjörður"
"3158",15676,"Parhús",90,0,2,1,7150,"Reyðarfjörður"
"3159",26300,"Íbúðareign",83.5,0,2,1,20,"Miðbær: Frá Tjörn að Snorrabraut"
"3160",26292,"Íbúðareign",105.9,1,2,1,181,"Úlfarsárdalur"
"3161",21703,"Einbýlishús",120,0,4,1,3100,"Ólafsvík"
"3162",11500,"Parhús",102.1,0,3,1,8010,"Selfoss"
"3163",21400,"Einbýlishús",157.4,0,3,2,8010,"Selfoss"
"3164",22678,"Einbýlishús",136,0,5,2,2060,"Grindavík"
"3165",22967,"Íbúðareign",120.6,0,3,1,600,"Hafnarfjörður"
"3166",31814,"Íbúðareign",119.7,1,2,1,600,"Hafnarfjörður"
"3167",55520,"Einbýlishús",283.2,0,7,2,320,"Kópavogur: Austurbær"
"3168",15517,"Íbúðareign",83.8,0,3,1,320,"Kópavogur: Austurbær"
"3169",42408,"Raðhús",205.2,0,8,1,320,"Kópavogur: Austurbær"
"3170",23759,"Íbúðareign",155.4,0,5,2,7150,"Reyðarfjörður"
"3171",23364,"Íbúðareign",91,1,2,1,270,"Norðlingaholt"
"3172",24697,"Íbúðareign",94.5,1,2,1,110,"Bryggjuhverfi"
"3173",31445,"Einbýlishús",131.8,0,4,1,3000,"Akranes"
"3174",15036,"Íbúðareign",63.6,1,1,1,3000,"Akranes"
"3175",92749,"Einbýlishús",282.6,0,7,3,500,"Garðabær"
"3176",39680,"Raðhús",152,0,4,2,500,"Garðabær"
"3177",29943,"Íbúðareign",105.2,0,3,1,500,"Garðabær"
"3178",22000,"Íbúðareign",96.3,0,3,1,200,"Árbær"
"3179",17162,"Parhús",92.8,0,2,2,8020,"Hveragerði"
"3180",28000,"Íbúðareign",95.2,0,3,1,340,"Kópavogur: Lindir, Salir"
"3181",14986,"Íbúðareign",44.8,0,1,1,20,"Miðbær: Frá Tjörn að Snorrabraut"
"3182",15630,"Íbúðareign",80.4,0,1,1,170,"Neðra-Breiðholt"
"3183",12243,"Íbúðareign",73.5,0,2,1,6040,"Akureyri: Glerárhverfi"
"3184",30707,"Raðhús",128.3,0,4,1,160,"Hólar, Berg"
"3185",12900,"Íbúðareign",33.1,0,1,1,11,"Vesturbær: Vestan Bræðraborgarstígs"
"3186",22996,"Íbúðareign",70.9,0,2,1,72,"Hagar/Melar vestan Hofsvallagötu"
"3187",13440,"Íbúðareign",61.3,0,1,1,200,"Árbær"
"3188",14574,"Íbúðareign",54.8,0,1,1,220,"Selás"
"3189",5439,"Íbúðareign",53.4,0,1,1,4100,"Ísafjörður: Eldri byggð"
"3190",17125,"Íbúðareign",70.5,0,2,1,100,"Laugarneshverfi/Vogar"
"3191",29849,"Íbúðareign",104.2,0,2,2,80,"Hlíðar"
"3192",31864,"Íbúðareign",91.9,0,1,1,25,"Miðbær: Frá Bræðraborgarstíg að Tjörn"
"3193",21871,"Íbúðareign",83.5,0,2,2,90,"Holt/Tún"
"3194",24983,"Íbúðareign",69,1,2,1,85,"Kringlan"
"3195",22996,"Íbúðareign",85.4,1,2,1,72,"Hagar/Melar vestan Hofsvallagötu"
"3196",11566,"Íbúðareign",39.1,0,1,1,100,"Laugarneshverfi/Vogar"
"3197",27649,"Íbúðareign",87.3,0,2,2,70,"Melar: Að sjó"
"3198",23821,"Íbúðareign",72.8,1,2,1,72,"Hagar/Melar vestan Hofsvallagötu"
"3199",16061,"Íbúðareign",55.3,0,2,1,20,"Miðbær: Frá Tjörn að Snorrabraut"
